date,product,role,long_oi,short_oi,net_oi,long_trade,short_trade,net_trade
2018-08-14,小型臺指,投信,144,0,144,144,144,0
2018-08-14,小型臺指,自營商,19986,22386,-2400,15110,16163,-1053
2018-08-14,臺股期貨,外資,76622,32089,44533,104290,104069,221
2018-08-14,臺股期貨,投信,2488,26745,-24257,10289,9754,535
2018-08-14,臺股期貨,自營商,7363,13626,-6263,26864,26553,311
2018-08-15,小型臺指,外資,199,5644,-5445,46448,50933,-4485
2018-08-15,小型臺指,投信,144,0,144,0,0,0
2018-08-15,小型臺指,自營商,13850,14969,-1119,18412,22277,-3865
2018-08-15,臺股期貨,外資,64574,30193,34381,67227,71350,-4123
2018-08-15,臺股期貨,投信,2464,27059,-24595,854,1192,-338
2018-08-15,臺股期貨,自營商,6103,11264,-5161,35668,37319,-1651
2018-08-16,小型臺指,外資,1222,340,882,52900,51381,1519
2018-08-16,小型臺指,投信,146,0,146,2,0,2
2018-08-16,小型臺指,自營商,13378,14710,-1332,9739,10180,-441
2018-08-16,臺股期貨,外資,64503,29108,35395,76637,74421,2216
2018-08-16,臺股期貨,投信,2475,27112,-24637,36,78,-42
2018-08-16,臺股期貨,自營商,6404,14019,-7615,16849,19246,-2397
2018-08-17,小型臺指,外資,426,2943,-2517,35922,39361,-3439
2018-08-17,小型臺指,投信,146,0,146,0,0,0
2018-08-17,小型臺指,自營商,15726,15397,329,9043,7382,1661
2018-08-17,臺股期貨,外資,63734,31548,32186,49826,53025,-3199
2018-08-17,臺股期貨,投信,2519,27117,-24598,66,27,39
2018-08-17,臺股期貨,自營商,7865,14085,-6220,16467,15072,1395
2018-08-20,小型臺指,外資,267,2402,-2135,43421,43039,382
2018-08-20,小型臺指,投信,146,0,146,0,0,0
2018-08-20,小型臺指,自營商,14919,15302,-383,6647,7547,-900
2018-08-20,臺股期貨,外資,65778,30838,34940,59972,57218,2754
2018-08-20,臺股期貨,投信,2541,27612,-25071,27,500,-473
2018-08-20,臺股期貨,自營商,7615,15093,-7478,13428,14639,-1211
2018-08-21,小型臺指,外資,778,1318,-540,35456,33885,1571
2018-08-21,小型臺指,投信,146,0,146,0,0,0
2018-08-21,小型臺指,自營商,14038,12915,1123,8604,7262,1342
2018-08-21,臺股期貨,外資,67693,32383,35310,51137,50761,376
2018-08-21,臺股期貨,投信,2527,27160,-24633,502,64,438
2018-08-21,臺股期貨,自營商,8033,15216,-7183,15869,15533,336
2018-08-22,小型臺指,外資,1873,1445,428,32118,31127,991
2018-08-22,小型臺指,投信,146,0,146,0,0,0
2018-08-22,小型臺指,自營商,15234,11335,3899,9624,6947,2677
